medal_type,medal_code,athlete_name,country_code,discipline_code,event
Bronze Medal,3,BODONYI Dora,HUN,CSP,Women's Kayak Double 500m
Gold Medal,1,CARRINGTON Lisa,NZL,CSP,Women's Kayak Single 200m
Silver Medal,2,PORTELA Teresa,ESP,CSP,Women's Kayak Single 200m
Bronze Medal,3,JORGENSEN Emma Aastrand,DEN,CSP,Women's Kayak Single 200m
Gold Medal,1,van den BERG Roy,NED,CTR,Men's Team Sprint
Gold Medal,1,HOOGLAND Jeffrey,NED,CTR,Men's Team Sprint
Gold Medal,1,BUCHLI Matthijs,NED,CTR,Men's Team Sprint
Gold Medal,1,LAVREYSEN Harrie,NED,CTR,Men's Team Sprint
Silver Medal,2,CARLIN Jack,GBR,CTR,Men's Team Sprint
Silver Medal,2,KENNY Jason,GBR,CTR,Men's Team Sprint
Silver Medal,2,OWENS Ryan,GBR,CTR,Men's Team Sprint
Bronze Medal,3,VIGIER Sebastien,FRA,CTR,Men's Team Sprint
Bronze Medal,3,HELAL Rayan,FRA,CTR,Men's Team Sprint
Bronze Medal,3,GRENGBO Florian,FRA,CTR,Men's Team Sprint
Gold Medal,1,BRENNAUER Lisa,GER,CTR,Women's Team Pursuit
Gold Medal,1,BRAUSSE Franziska,GER,CTR,Women's Team Pursuit
Gold Medal,1,KROEGER Mieke,GER,CTR,Women's Team Pursuit
Gold Medal,1,KLEIN Lisa,GER,CTR,Women's Team Pursuit
Silver Medal,2,ARCHIBALD Katie,GBR,CTR,Women's Team Pursuit
Silver Medal,2,BARKER Elinor,GBR,CTR,Women's Team Pursuit
Silver Medal,2,EVANS Neah,GBR,CTR,Women's Team Pursuit
Silver Medal,2,KENNY Laura,GBR,CTR,Women's Team Pursuit
Silver Medal,2,KNIGHT Josie,GBR,CTR,Women's Team Pursuit
Bronze Medal,3,WILLIAMS Lily,USA,CTR,Women's Team Pursuit
Bronze Medal,3,DYGERT Chloe,USA,CTR,Women's Team Pursuit
Bronze Medal,3,WHITE Emma,USA,CTR,Women's Team Pursuit
Bronze Medal,3,VALENTE Jennifer,USA,CTR,Women's Team Pursuit
Bronze Medal,3,JASTRAB Megan,USA,CTR,Women's Team Pursuit
Gold Medal,1,XIE Siyi,CHN,DIV,Men's 3m Springboard
Silver Medal,2,WANG Zongyuan,CHN,DIV,Men's 3m Springboard
Bronze Medal,3,LAUGHER Jack,GBR,DIV,Men's 3m Springboard
Gold Medal,1,SCOTT Giles,GBR,SAL,Men's One Person Dinghy (Heavyweight) - Finn
Silver Medal,2,BERECZ Zsombor,HUN,SAL,Men's One Person Dinghy (Heavyweight) - Finn
Bronze Medal,3,CARDONA MENDEZ Joan,ESP,SAL,Men's One Person Dinghy (Heavyweight) - Finn
Gold Medal,1,BITHELL Stuart,GBR,SAL,Men's Skiff - 49er
Gold Medal,1,FLETCHER Dylan,GBR,SAL,Men's Skiff - 49er
Silver Medal,2,BURLING Peter,NZL,SAL,Men's Skiff - 49er
Silver Medal,2,TUKE Blair,NZL,SAL,Men's Skiff - 49er
Bronze Medal,3,HEIL Erik,GER,SAL,Men's Skiff - 49er
Bronze Medal,3,PLOESSEL Thomas,GER,SAL,Men's Skiff - 49er
Gold Medal,1,BANTI Caterina,ITA,SAL,Mixed Multihull - Nacra 17 Foiling
Gold Medal,1,TITA Ruggero,ITA,SAL,Mixed Multihull - Nacra 17 Foiling
Silver Medal,2,GIMSON John,GBR,SAL,Mixed Multihull - Nacra 17 Foiling
Silver Medal,2,BURNET Anna,GBR,SAL,Mixed Multihull - Nacra 17 Foiling
Bronze Medal,3,STUHLEMMER Alica,GER,SAL,Mixed Multihull - Nacra 17 Foiling
Bronze Medal,3,KOHLHOFF Paul,GER,SAL,Mixed Multihull - Nacra 17 Foiling
Gold Medal,1,KUNZE Kahena,BRA,SAL,Women's Skiff - 49er FX
Gold Medal,1,GRAEL Martine,BRA,SAL,Women's Skiff - 49er FX
Silver Medal,2,BEUCKE Susann,GER,SAL,Women's Skiff - 49er FX
Silver Medal,2,LUTZ Tina,GER,SAL,Women's Skiff - 49er FX
Bronze Medal,3,BEKKERING Annemiek,NED,SAL,Women's Skiff - 49er FX
Bronze Medal,3,DUETZ Annette,NED,SAL,Women's Skiff - 49er FX
Gold Medal,1,DJURAEV Akbar,UZB,WLF,Men's 109kg
Silver Medal,2,MARTIROSYAN Simon,ARM,WLF,Men's 109kg
Bronze Medal,3,PLESNIEKS Arturs,LAT,WLF,Men's 109kg
Gold Medal,1,LORINCZ Tamas,HUN,WRE,Men's Greco-Roman 77kg
Silver Medal,2,MAKHMUDOV Akzhol,KGZ,WRE,Men's Greco-Roman 77kg
Bronze Medal,3,HUSEYNOV Rafig,AZE,WRE,Men's Greco-Roman 77kg
Bronze Medal,3,YABIKU Shohei,JPN,WRE,Men's Greco-Roman 77kg
Gold Medal,1,EVLOEV Musa,ROC,WRE,Men's Greco-Roman 97kg
Silver Medal,2,ALEKSANYAN Artur,ARM,WRE,Men's Greco-Roman 97kg
Bronze Medal,3,MICHALIK Tadeusz,POL,WRE,Men's Greco-Roman 97kg
Bronze Medal,3,SARAVI Mohammadhadi,IRI,WRE,Men's Greco-Roman 97kg
Gold Medal,1,MENSAH STOCK Tamyra Mariama,USA,WRE,Women's Freestyle 68kg
Silver Medal,2,OBORUDUDU Blessing,NGR,WRE,Women's Freestyle 68kg
Bronze Medal,3,CHERKASOVA Alla,UKR,WRE,Women's Freestyle 68kg
Bronze Medal,3,ZHUMANAZAROVA Meerim,KGZ,WRE,Women's Freestyle 68kg
Gold Medal,1,KOLESNICHENKO Svetlana,ROC,SWA,Duet
Gold Medal,1,ROMASHINA Svetlana,ROC,SWA,Duet
Silver Medal,2,HUANG Xuechen,CHN,SWA,Duet
Silver Medal,2,SUN Wenyan,CHN,SWA,Duet
Bronze Medal,3,SAVCHUK Anastasiya,UKR,SWA,Duet
Bronze Medal,3,FIEDINA Marta,UKR,SWA,Duet
Gold Medal,1,de GRASSE Andre,CAN,ATH,Men's 200m
Silver Medal,2,BEDNAREK Kenneth,USA,ATH,Men's 200m
Bronze Medal,3,LYLES Noah,USA,ATH,Men's 200m
Gold Medal,1,KORIR Emmanuel Kipkurui,KEN,ATH,Men's 800m
Silver Medal,2,ROTICH Ferguson Cheruiyot,KEN,ATH,Men's 800m
Bronze Medal,3,DOBEK Patryk,POL,ATH,Men's 800m
Gold Medal,1,WARNER Damian,CAN,ATH,Men's Decathlon
Silver Medal,2,MAYER Kevin,FRA,ATH,Men's Decathlon
Bronze Medal,3,MOLONEY Ashley,AUS,ATH,Men's Decathlon
Gold Medal,1,NOWICKI Wojciech,POL,ATH,Men's Hammer Throw
Silver Medal,2,HENRIKSEN Eivind,NOR,ATH,Men's Hammer Throw
Bronze Medal,3,FAJDEK Pawel,POL,ATH,Men's Hammer Throw
Gold Medal,1,CHEMUTAI Peruth,UGA,ATH,Women's 3000m Steeplechase
Silver Medal,2,FRERICHS Courtney,USA,ATH,Women's 3000m Steeplechase
Bronze Medal,3,KIYENG Hyvin,KEN,ATH,Women's 3000m Steeplechase
Gold Medal,1,McLAUGHLIN Sydney,USA,ATH,Women's 400m Hurdles
Silver Medal,2,MUHAMMAD Dalilah,USA,ATH,Women's 400m Hurdles
Bronze Medal,3,BOL Femke,NED,ATH,Women's 400m Hurdles
Gold Medal,1,THIAM Nafissatou,BEL,ATH,Women's Heptathlon
Silver Medal,2,VETTER Anouk,NED,ATH,Women's Heptathlon
Bronze Medal,3,OOSTERWEGEL Emma,NED,ATH,Women's Heptathlon
Gold Medal,1,LOPEZ Arlen,CUB,BOX,Men's Light Heavy (75-81kg)
Silver Medal,2,WHITTAKER Benjamin,GBR,BOX,Men's Light Heavy (75-81kg)
Bronze Medal,3,KUNKABAYEV Kamshybek,KAZ,BOX,Men's Super Heavy (+91kg)
Bronze Medal,3,CLARKE Frazer,GBR,BOX,Men's Super Heavy (+91kg)
Bronze Medal,3,HUANG Hsiao-Wen,TPE,BOX,Women's Fly (48-51kg)
Bronze Medal,3,NAMIKI Tsukimi,JPN,BOX,Women's Fly (48-51kg)
Bronze Medal,3,BORGOHAIN Lovlina,IND,BOX,Women's Welter (64-69kg)
Bronze Medal,3,JONES Oshae,USA,BOX,Women's Welter (64-69kg)
Gold Medal,1,CONSONNI Simone,ITA,CTR,Men's Team Pursuit
Gold Medal,1,GANNA Filippo,ITA,CTR,Men's Team Pursuit
Gold Medal,1,MILAN Jonathan,ITA,CTR,Men's Team Pursuit
Gold Medal,1,LAMON Francesco,ITA,CTR,Men's Team Pursuit
Silver Medal,2,LARSEN Niklas,DEN,CTR,Men's Team Pursuit
Silver Medal,2,MADSEN Frederik,DEN,CTR,Men's Team Pursuit
Silver Medal,2,HANSEN Lasse Norman,DEN,CTR,Men's Team Pursuit
Silver Medal,2,PEDERSEN Rasmus,DEN,CTR,Men's Team Pursuit
Bronze Medal,3,O'BRIEN Kelland,AUS,CTR,Men's Team Pursuit
Bronze Medal,3,WELSFORD Sam,AUS,CTR,Men's Team Pursuit
Bronze Medal,3,PLAPP Lucas,AUS,CTR,Men's Team Pursuit
Bronze Medal,3,HOWARD Leigh,AUS,CTR,Men's Team Pursuit
Bronze Medal,3,PORTER Alexander,AUS,CTR,Men's Team Pursuit
Gold Medal,1,MAHER Ben,GBR,EQU,Jumping Individual
Silver Medal,2,FREDRICSON Peder,SWE,EQU,Jumping Individual
Bronze Medal,3,van der VLEUTEN Maikel,NED,EQU,Jumping Individual
Gold Medal,1,CUNHA Ana Marcela,BRA,OWS,Women's 10km
Silver Medal,2,van ROUWENDAAL Sharon,NED,OWS,Women's 10km
Bronze Medal,3,LEE Kareena,AUS,OWS,Women's 10km
Gold Medal,1,RYAN Will,AUS,SAL,Men's Two Person Dinghy - 470
Gold Medal,1,BELCHER Mathew,AUS,SAL,Men's Two Person Dinghy - 470
Silver Medal,2,BERGSTROM Fredrik,SWE,SAL,Men's Two Person Dinghy - 470
Silver Medal,2,DAHLBERG Anton,SWE,SAL,Men's Two Person Dinghy - 470
Bronze Medal,3,RODRIGUEZ GARCIA-PAZ Nicolas,ESP,SAL,Men's Two Person Dinghy - 470
Bronze Medal,3,XAMMAR Jordi,ESP,SAL,Men's Two Person Dinghy - 470
Gold Medal,1,McINTYRE Eilidh,GBR,SAL,Women's Two Person Dinghy - 470
Gold Medal,1,MILLS Hannah,GBR,SAL,Women's Two Person Dinghy - 470
Silver Medal,2,SKRZYPULEC Agnieszka,POL,SAL,Women's Two Person Dinghy - 470
Silver Medal,2,OGAR Jolanta,POL,SAL,Women's Two Person Dinghy - 470
Bronze Medal,3,LECOINTRE Camille,FRA,SAL,Women's Two Person Dinghy - 470
Bronze Medal,3,RETORNAZ Aloise,FRA,SAL,Women's Two Person Dinghy - 470
Gold Medal,1,YOSOZUMI Sakura,JPN,SKB,Women's Park
Silver Medal,2,HIRAKI Kokona,JPN,SKB,Women's Park
Bronze Medal,3,BROWN Sky,GBR,SKB,Women's Park
Gold Medal,1,TALAKHADZE Lasha,GEO,WLF,Men's +109kg
Silver Medal,2,DAVOUDI Ali,IRI,WLF,Men's +109kg
Bronze Medal,3,ASAAD Man,SYR,WLF,Men's +109kg
Gold Medal,1,GERAEI Mohammadreza,IRI,WRE,Men's Greco-Roman 67kg
Silver Medal,2,NASIBOV Parviz,UKR,WRE,Men's Greco-Roman 67kg
Bronze Medal,3,ELSAYED Mohamed Ibrahim Elsayed,EGY,WRE,Men's Greco-Roman 67kg
Bronze Medal,3,STAEBLER Frank,GER,WRE,Men's Greco-Roman 67kg
Gold Medal,1,BELENIUK Zhan,UKR,WRE,Men's Greco-Roman 87kg
Silver Medal,2,LORINCZ Viktor,HUN,WRE,Men's Greco-Roman 87kg
Bronze Medal,3,KUDLA Denis Maksymilian,GER,WRE,Men's Greco-Roman 87kg
Bronze Medal,3,DATUNASHVILI Zurabi,SRB,WRE,Men's Greco-Roman 87kg
Gold Medal,1,KAWAI Yukako,JPN,WRE,Women's Freestyle 62kg
Silver Medal,2,TYNYBEKOVA Aisuluu,KGZ,WRE,Women's Freestyle 62kg
Bronze Medal,3,KOLIADENKO Iryna,UKR,WRE,Women's Freestyle 62kg
Bronze Medal,3,YUSEIN Taybe Mustafa,BUL,WRE,Women's Freestyle 62kg
Gold Medal,1,PARCHMENT Hansle,JAM,ATH,Men's 110m Hurdles
Silver Medal,2,HOLLOWAY Grant,USA,ATH,Men's 110m Hurdles
Bronze Medal,3,LEVY Ronald,JAM,ATH,Men's 110m Hurdles
Gold Medal,1,STANO Massimo,ITA,ATH,Men's 20km Race Walk
Silver Medal,2,IKEDA Koki,JPN,ATH,Men's 20km Race Walk
Bronze Medal,3,YAMANISHI Toshikazu,JPN,ATH,Men's 20km Race Walk
Gold Medal,1,GARDINER Steven,BAH,ATH,Men's 400m
Silver Medal,2,ZAMBRANO Anthony Jose,COL,ATH,Men's 400m
Bronze Medal,3,JAMES Kirani,GRN,ATH,Men's 400m
Gold Medal,1,CROUSER Ryan,USA,ATH,Men's Shot Put
Silver Medal,2,KOVACS Joe,USA,ATH,Men's Shot Put
Bronze Medal,3,WALSH Tomas,NZL,ATH,Men's Shot Put
Gold Medal,1,PICHARDO Pedro,POR,ATH,Men's Triple Jump
Silver Medal,2,ZHU Yaming,CHN,ATH,Men's Triple Jump
Bronze Medal,3,ZANGO Hugues Fabrice,BUR,ATH,Men's Triple Jump
Gold Medal,1,NAGEOTTE Katie,USA,ATH,Women's Pole Vault
Silver Medal,2,SIDOROVA Anzhelika,ROC,ATH,Women's Pole Vault
Bronze Medal,3,BRADSHAW Holly,GBR,ATH,Women's Pole Vault
Gold Medal,1,BATYRGAZIEV Albert,ROC,BOX,Men's Feather (52-57kg)
Silver Medal,2,RAGAN Duke,USA,BOX,Men's Feather (52-57kg)
Bronze Medal,3,BIBOSSINOV Saken,KAZ,BOX,Men's Fly (48-52kg)
Bronze Medal,3,TANAKA Ryomei,JPN,BOX,Men's Fly (48-52kg)
Bronze Medal,3,MARCIAL Eumir,PHI,BOX,Men's Middle (69-75kg)
Bronze Medal,3,BAKSHI Gleb,ROC,BOX,Men's Middle (69-75kg)
Bronze Medal,3,SEESONDEE Sudaporn,THA,BOX,Women's Light (57-60kg)
Bronze Medal,3,POTKONEN Mira Marjut Johanna,FIN,BOX,Women's Light (57-60kg)
Gold Medal,1,van der WESTHUYZEN Jean,AUS,CSP,Men's Kayak Double 1000m
Gold Medal,1,GREEN Thomas,AUS,CSP,Men's Kayak Double 1000m
Silver Medal,2,SCHOPF Jacob,GER,CSP,Men's Kayak Double 1000m
Silver Medal,2,HOFF Max,GER,CSP,Men's Kayak Double 1000m
Bronze Medal,3,DOSTAL Josef,CZE,CSP,Men's Kayak Double 1000m
Bronze Medal,3,SLOUF Radek,CZE,CSP,Men's Kayak Double 1000m
Gold Medal,1,TOTKA Sandor,HUN,CSP,Men's Kayak Single 200m
Silver Medal,2,RIZZA Manfredi,ITA,CSP,Men's Kayak Single 200m
Bronze Medal,3,HEATH Liam,GBR,CSP,Men's Kayak Single 200m
Gold Medal,1,HARRISON Nevin,USA,CSP,Women's Canoe Single 200m
Silver Medal,2,VINCENT-LAPOINTE Laurence,CAN,CSP,Women's Canoe Single 200m
Bronze Medal,3,LUZAN Liudmyla,UKR,CSP,Women's Canoe Single 200m
Gold Medal,1,CARRINGTON Lisa,NZL,CSP,Women's Kayak Single 500m
Silver Medal,2,CSIPES Tamara,HUN,CSP,Women's Kayak Single 500m
Bronze Medal,3,JORGENSEN Emma Aastrand,DEN,CSP,Women's Kayak Single 500m
Gold Medal,1,WALLS Matthew,GBR,CTR,Men's Omnium
Silver Medal,2,STEWART Campbell,NZL,CTR,Men's Omnium
Bronze Medal,3,VIVIANI Elia,ITA,CTR,Men's Omnium
Gold Medal,1,BRASPENNINCX Shanne,NED,CTR,Women's Keirin
Silver Medal,2,ANDREWS Ellesse,NZL,CTR,Women's Keirin
Bronze Medal,3,GENEST Lauriane,CAN,CTR,Women's Keirin
Gold Medal,1,QUAN Hongchan,CHN,DIV,Women's 10m Platform
Silver Medal,2,CHEN Yuxi,CHN,DIV,Women's 10m Platform
Bronze Medal,3,WU Melissa,AUS,DIV,Women's 10m Platform
Gold Medal,1,BOCCARD Gauthier,BEL,HOC,Men
Gold Medal,1,de KERPEL Nicolas,BEL,HOC,Men
Gold Medal,1,de SLOOVER Arthur Anne-Marie Thierr,BEL,HOC,Men
Gold Medal,1,HENDRICKX Alexander Robby P,BEL,HOC,Men
Gold Medal,1,LUYPAERT Loick Fanny A,BEL,HOC,Men
Gold Medal,1,van AUBEL Florent,BEL,HOC,Men
Gold Medal,1,VANASCH Vincent,BEL,HOC,Men
Gold Medal,1,BOON Tom Alain,BEL,HOC,Men
Gold Medal,1,BRIELS Thomas,BEL,HOC,Men
Gold Medal,1,CHARLIER Cedric Daniel Andre,BEL,HOC,Men
Gold Medal,1,DENAYER Felix Veronique B.,BEL,HOC,Men
Gold Medal,1,DOCKIER Sebastien,BEL,HOC,Men
Gold Medal,1,GOUGNARD Simon Pierre F,BEL,HOC,Men
Gold Medal,1,KINA Antoine Sylvain T,BEL,HOC,Men
Gold Medal,1,MEURMANS Augustin Jean J,BEL,HOC,Men
Gold Medal,1,WEGNEZ Victor Nicky B,BEL,HOC,Men
Gold Medal,1,van DOREN Arthur,BEL,HOC,Men
Gold Medal,1,DOHMEN John-John Dominique M,BEL,HOC,Men
Silver Medal,2,CHARTER Andrew Lewis,AUS,HOC,Men
Silver Medal,2,MITTON Trent Grant,AUS,HOC,Men
Silver Medal,2,OCKENDEN Edward Clive,AUS,HOC,Men
Silver Medal,2,WHETTON Jacob Thomas,AUS,HOC,Men
Silver Medal,2,ZALEWSKI Aran,AUS,HOC,Men
Silver Medal,2,BEALE Daniel James,AUS,HOC,Men
Silver Medal,2,WICKHAM Tom Joseph,AUS,HOC,Men
Silver Medal,2,DAWSON Matthew,AUS,HOC,Men
Silver Medal,2,BRAND Tim,AUS,HOC,Men
Silver Medal,2,GOVERS Blake,AUS,HOC,Men
Silver Medal,2,OGILVIE Flynn Andrew,AUS,HOC,Men
Silver Medal,2,CRAIG Thomas William,AUS,HOC,Men
Silver Medal,2,HOWARD Tim,AUS,HOC,Men
Silver Medal,2,BELTZ Joshua,AUS,HOC,Men
Silver Medal,2,HAYWARD Jeremy Thomas,AUS,HOC,Men
Silver Medal,2,SHARP Lachlan Thomas,AUS,HOC,Men
Silver Medal,2,SIMMONDS Joshua,AUS,HOC,Men
Silver Medal,2,MARTIN Dylan,AUS,HOC,Men
Bronze Medal,3,PARATTU RAVEENDRAN Sreejesh,IND,HOC,Men
Bronze Medal,3,SINGH Harmanpreet,IND,HOC,Men
Bronze Medal,3,LAKRA Birendra,IND,HOC,Men
Bronze Medal,3,KUMAR Surender,IND,HOC,Men
Bronze Medal,3,ROHIDAS Amit,IND,HOC,Men
Bronze Medal,3,KUMAR Varun,IND,HOC,Men
Bronze Medal,3,SINGH Rupinder Pal,IND,HOC,Men
Bronze Medal,3,SINGH Manpreet,IND,HOC,Men
Bronze Medal,3,SUMIT,IND,HOC,Men
Bronze Medal,3,SHARMA Nilakanta,IND,HOC,Men
Bronze Medal,3,SINGH Hardik,IND,HOC,Men
Bronze Medal,3,PRASAD Vivek Sagar,IND,HOC,Men
Bronze Medal,3,SINGH Mandeep,IND,HOC,Men
Bronze Medal,3,SINGH Shamsher,IND,HOC,Men
Bronze Medal,3,UPADHYAY Lalit Kumar,IND,HOC,Men
Bronze Medal,3,SINGH Simranjeet,IND,HOC,Men
Bronze Medal,3,SINGH Dilpreet,IND,HOC,Men
Bronze Medal,3,SINGH Gurjant,IND,HOC,Men
Gold Medal,1,da COSTA Steven,FRA,KTE,Men's Kumite -67kg
Silver Medal,2,SAMDAN Eray,TUR,KTE,Men's Kumite -67kg
Bronze Medal,3,ALMASATFA Abdel Rahman,JOR,KTE,Men's Kumite -67kg
Bronze Medal,3,ASSADILOV Darkhan,KAZ,KTE,Men's Kumite -67kg
Gold Medal,1,SANCHEZ JAIME Sandra,ESP,KTE,Women's Kata
Silver Medal,2,SHIMIZU Kiyou,JPN,KTE,Women's Kata
Bronze Medal,3,LAU Mo Sheung Grace,HKG,KTE,Women's Kata
Bronze Medal,3,BOTTARO Viviana,ITA,KTE,Women's Kata
Gold Medal,1,GORANOVA Ivet,BUL,KTE,Women's Kumite -55kg
Silver Medal,2,TERLIUGA Anzhelika,UKR,KTE,Women's Kumite -55kg
Bronze Medal,3,PLANK Bettina,AUT,KTE,Women's Kumite -55kg
Bronze Medal,3,WEN Tzuyun,TPE,KTE,Women's Kumite -55kg
Gold Medal,1,WELLBROCK Florian,GER,OWS,Men's 10km
Silver Medal,2,RASOVSZKY Kristof,HUN,OWS,Men's 10km
Bronze Medal,3,PALTRINIERI Gregorio,ITA,OWS,Men's 10km
Gold Medal,1,PALMER Keegan,AUS,SKB,Men's Park
Silver Medal,2,BARROS Pedro,BRA,SKB,Men's Park
Bronze Medal,3,JUNEAU Cory,USA,SKB,Men's Park
Gold Medal,1,GINES LOPEZ Alberto,ESP,CLB,Men's Combined
Silver Medal,2,COLEMAN Nathaniel,USA,CLB,Men's Combined
Bronze Medal,3,SCHUBERT Jakob,AUT,CLB,Men's Combined
Gold Medal,1,CHEN Meng,CHN,TTE,Women's Team
Gold Medal,1,SUN Yingsha,CHN,TTE,Women's Team
Gold Medal,1,WANG Manyu,CHN,TTE,Women's Team
Silver Medal,2,ISHIKAWA Kasumi,JPN,TTE,Women's Team
Silver Medal,2,HIRANO Miu,JPN,TTE,Women's Team
Silver Medal,2,ITO Mima,JPN,TTE,Women's Team
Bronze Medal,3,DOO Hoi Kem,HKG,TTE,Women's Team
Bronze Medal,3,LEE Ho Ching,HKG,TTE,Women's Team
Bronze Medal,3,SOO Wai Yam Minnie,HKG,TTE,Women's Team
Gold Medal,1,UGUEV Zavur,ROC,WRE,Men's Freestyle 57kg
Silver Medal,2,RAVI Kumar,IND,WRE,Men's Freestyle 57kg
Bronze Medal,3,SANAYEV Nurislam,KAZ,WRE,Men's Freestyle 57kg
Bronze Medal,3,GILMAN Thomas Patrick,USA,WRE,Men's Freestyle 57kg
Gold Medal,1,TAYLOR III David Morris,USA,WRE,Men's Freestyle 86kg
Silver Medal,2,YAZDANICHARATI Hassan,IRI,WRE,Men's Freestyle 86kg
Bronze Medal,3,AMINE Myles Nazem,SMR,WRE,Men's Freestyle 86kg
Bronze Medal,3,NAIFONOV Artur,ROC,WRE,Men's Freestyle 86kg
Gold Medal,1,KAWAI Risako,JPN,WRE,Women's Freestyle 57kg
Silver Medal,2,KURACHKINA Iryna,BLR,WRE,Women's Freestyle 57kg
Bronze Medal,3,NIKOLOVA Evelina Georgieva,BUL,WRE,Women's Freestyle 57kg
Bronze Medal,3,MAROULIS Helen Louise,USA,WRE,Women's Freestyle 57kg
Gold Medal,1,JACOBS Lamont Marcell,ITA,ATH,Men's 4 x 100m Relay
Gold Medal,1,TORTU Filippo,ITA,ATH,Men's 4 x 100m Relay
Gold Medal,1,DESALU Eseosa Fostine,ITA,ATH,Men's 4 x 100m Relay
Gold Medal,1,PATTA Lorenzo,ITA,ATH,Men's 4 x 100m Relay
Silver Medal,2,MITCHELL-BLAKE Nethaneel,GBR,ATH,Men's 4 x 100m Relay
Silver Medal,2,KILTY Richard,GBR,ATH,Men's 4 x 100m Relay
Silver Medal,2,UJAH Chijindu,GBR,ATH,Men's 4 x 100m Relay
Silver Medal,2,HUGHES Zharnel,GBR,ATH,Men's 4 x 100m Relay
Bronze Medal,3,RODNEY Brendon,CAN,ATH,Men's 4 x 100m Relay
Bronze Medal,3,de GRASSE Andre,CAN,ATH,Men's 4 x 100m Relay
Bronze Medal,3,BLAKE Jerome,CAN,ATH,Men's 4 x 100m Relay
Bronze Medal,3,BROWN Aaron,CAN,ATH,Men's 4 x 100m Relay
Gold Medal,1,CHEPTEGEI Joshua,UGA,ATH,Men's 5000m
Silver Medal,2,AHMED Mohammed,CAN,ATH,Men's 5000m
Bronze Medal,3,CHELIMO Paul,USA,ATH,Men's 5000m
Gold Medal,1,TOMALA Dawid,POL,ATH,Men's 50km Race Walk
Silver Medal,2,HILBERT Jonathan,GER,ATH,Men's 50km Race Walk
Bronze Medal,3,DUNFEE Evan,CAN,ATH,Men's 50km Race Walk
Gold Medal,1,KIPYEGON Faith,KEN,ATH,Women's 1500m
Silver Medal,2,MUIR Laura,GBR,ATH,Women's 1500m
Bronze Medal,3,HASSAN Sifan,NED,ATH,Women's 1500m
Gold Medal,1,PALMISANO Antonella,ITA,ATH,Women's 20km Race Walk
Silver Medal,2,ARENAS Sandra Lorena,COL,ATH,Women's 20km Race Walk
Bronze Medal,3,LIU Hong,CHN,ATH,Women's 20km Race Walk
Gold Medal,1,MORRISON Natasha,JAM,ATH,Women's 4 x 100m Relay
Gold Medal,1,BURCHELL Remona,JAM,ATH,Women's 4 x 100m Relay
Gold Medal,1,THOMPSON-HERAH Elaine,JAM,ATH,Women's 4 x 100m Relay
Gold Medal,1,WILLIAMS Briana,JAM,ATH,Women's 4 x 100m Relay
Gold Medal,1,JACKSON Shericka,JAM,ATH,Women's 4 x 100m Relay
Gold Medal,1,FRASER-PRYCE Shelly-Ann,JAM,ATH,Women's 4 x 100m Relay
Silver Medal,2,DANIELS Teahna,USA,ATH,Women's 4 x 100m Relay
Silver Medal,2,THOMAS Gabrielle,USA,ATH,Women's 4 x 100m Relay
Silver Medal,2,GARDNER English,USA,ATH,Women's 4 x 100m Relay
Silver Medal,2,OLIVER Javianne,USA,ATH,Women's 4 x 100m Relay
Silver Medal,2,PRANDINI Jenna,USA,ATH,Women's 4 x 100m Relay
Silver Medal,2,HOBBS Aleia,USA,ATH,Women's 4 x 100m Relay
Bronze Medal,3,LANSIQUOT Imani,GBR,ATH,Women's 4 x 100m Relay
Bronze Medal,3,NEITA Daryll,GBR,ATH,Women's 4 x 100m Relay
Bronze Medal,3,PHILIP Asha,GBR,ATH,Women's 4 x 100m Relay
Bronze Medal,3,ASHER-SMITH Dina,GBR,ATH,Women's 4 x 100m Relay
Gold Medal,1,MILLER-UIBO Shaunae,BAH,ATH,Women's 400m
Silver Medal,2,PAULINO Marileidy,DOM,ATH,Women's 400m
Bronze Medal,3,FELIX Allyson,USA,ATH,Women's 400m
Gold Medal,1,LIU Shiying,CHN,ATH,Women's Javelin Throw
Silver Medal,2,ANDREJCZYK Maria,POL,ATH,Women's Javelin Throw
Bronze Medal,3,BARBER Kelsey-Lee,AUS,ATH,Women's Javelin Throw
Gold Medal,1,KLINEMAN Alix,USA,VBV,Women
Gold Medal,1,ROSS April,USA,VBV,Women
Silver Medal,2,CLANCY Taliqua,AUS,VBV,Women
Silver Medal,2,ARTACHO del SOLAR Mariafe,AUS,VBV,Women
Bronze Medal,3,HEIDRICH Joana,SUI,VBV,Women
Bronze Medal,3,VERGE-DEPRE Anouk,SUI,VBV,Women
Gold Medal,1,la CRUZ Julio,CUB,BOX,Men's Heavy (81-91kg)
Silver Medal,2,GADZHIMAGOMEDOV Muslim,ROC,BOX,Men's Heavy (81-91kg)
Bronze Medal,3,GARSIDE Harry,AUS,BOX,Men's Light (57-63kg)
Bronze Medal,3,BACHKOV Hovhannes,ARM,BOX,Men's Light (57-63kg)
Bronze Medal,3,FONTIJN Nouchka,NED,BOX,Women's Middle (69-75kg)
Bronze Medal,3,MAGOMEDALIEVA Zenfira,ROC,BOX,Women's Middle (69-75kg)
Gold Medal,1,LAVREYSEN Harrie,NED,CTR,Men's Sprint
Silver Medal,2,HOOGLAND Jeffrey,NED,CTR,Men's Sprint
Bronze Medal,3,CARLIN Jack,GBR,CTR,Men's Sprint
Gold Medal,1,ARCHIBALD Katie,GBR,CTR,Women's Madison
