name,gender,birth_date,country_code,discipline,function
DOBSON Howard,Male,2/13/1973,USA,Baseball/Softball,Coach
DROBNJAK Dragisa,Male,11/5/1977,SLO,Basketball,Coach
DUENAS de GALARZA Jorge,Male,10/16/1962,BRA,Handball,Coach
DURO Fernando,Male,11/22/1960,VEN,Basketball,Coach
DYKSTRA Trisha,Female,7/23/1972,AUS,Basketball,Coach
ECHEZURIA Manuel,Male,10/23/1997,VEN,Basketball,Coach
EDDY Anthony,Male,1/28/1966,IRL,Rugby Sevens,Head Coach
EITOKU Atsushi,Male,12/14/1986,JPN,Artistic Swimming,Coach
ELAFANDI Nour,Female,1/10/1993,EGY,Artistic Swimming,Coach
ELAFANDI Nour,Female,1/10/1993,EGY,Artistic Swimming,Coach
ELEK Gabor,Male,11/5/1970,HUN,Handball,Coach
ENGELLAND Chip,Male,5/7/1961,USA,Basketball,Coach
ENQUIST Susan,Female,8/24/1957,USA,Volleyball,Head Coach
ERIKSEN Ken,Male,1/31/1961,USA,Baseball/Softball,Head Coach
ESTRADA Hector,Male,10/23/1968,MEX,Baseball/Softball,Coach
EWING Gareth,Male,3/13/1974,RSA,Hockey,Head Coach
FABRE Julie,Female,6/27/1976,FRA,Artistic Swimming,Coach
FALERO Miguel,Male,5/17/1957,HON,Football,Head Coach
FARINELLI Roberta,Female,2/6/1970,ITA,Artistic Swimming,Coach
FARINELLI Roberta,Female,2/6/1970,ITA,Artistic Swimming,Coach
FATOVIC Elvis,Male,5/8/1971,AUS,Water Polo,Head Coach
FAVAREL Pablo,Male,10/14/1983,VEN,Basketball,Coach
FENSTER Darren,Male,9/11/1978,USA,Baseball/Softball,Coach
FERRARO Hernan ,Male,5/13/1968,ARG,Volleyball,Head Coach
FISH Nate,Male,1/2/1980,ISR,Baseball/Softball,Coach
FLOWERS Tairia,Female,1/9/1981,USA,Baseball/Softball,Coach
FOIREST Laurent,Male,9/18/1973,FRA,Basketball,Coach
FORREST Scott,Male,8/6/1984,GBR,Rugby Sevens,Head Coach
FRIDAY Mike,Male,4/25/1972,USA,Rugby Sevens,Head Coach
FUENTES Andrea,Female,4/7/1983,USA,Artistic Swimming,Coach
FUERBRINGER Matthew,Male,1/29/1974,USA,Volleyball,Head Coach
FUJIKI Mayuko,Female,6/21/1975,ESP,Artistic Swimming,Coach
FUJIKI Mayuko,Female,6/21/1975,ESP,Artistic Swimming,Coach
FULI Saiasi,Male,3/16/1978,FIJ,Rugby Sevens,Head Coach
GADEMAN Pasha,Male,3/6/1988,CAN,Hockey,Head Coach
GAIDUKOV Aleksandr,Male,1/10/1974,ROC,Water Polo,Head Coach
GARCIA Manuel,Male,3/8/1989,DOM,Baseball/Softball,Coach
GARCIA Nestor,Male,11/1/1965,DOM,Basketball,Coach
GARCIA PIZARRO Paula,Female,11/10/1978,COL,Artistic Swimming,Coach
GARNIER Valerie,Female,1/9/1965,FRA,Basketball,Coach
GERHARDSSON Peter,Male,8/22/1959,SWE,Football,Head Coach
GIACOBBE Antonio,Male,2/12/1947,TUN,Volleyball,Head Coach
GIALLOMBARDO Patrizia,Female,7/19/1964,ITA,Artistic Swimming,Coach
GIALLOMBARDO Patrizia,Female,7/19/1964,ITA,Artistic Swimming,Coach
GILLE Guillaume,Male,7/12/1976,FRA,Handball,Coach
GINZBURG Ronen,Male,9/19/1963,CZE,Basketball,Coach
GISLASON Alfred,Male,9/7/1959,GER,Handball,Coach
GOJKOVIC Vladimir,Male,1/29/1981,MNE,Water Polo,Head Coach
GOMEZ CORA Santiago,Male,7/25/1978,ARG,Rugby Sevens,Head Coach
GOMEZ Gilbert,Male,3/8/1992,DOM,Baseball/Softball,Coach
GONZALEZ Anibal,Male,4/3/1989,MEX,Football,Head Coach
GONZALEZ JARENO Angel,Male,12/7/1960,ESP,Basketball,Coach
GOORJIAN Brian Warwick,Male,6/28/1953,AUS,Basketball,Coach
GORDO MANSILLA Juan David,Male,2/2/1970,ESP,Football,Head Coach
GRAINGER Adam,Male,7/6/1980,IRL,Hockey,Coach
GRAUPERA Cristina,Female,8/3/1993,GRE,Artistic Swimming,Coach
GRAZIOSI Gianluca,Male,10/1/1965,ITA,Volleyball,Head Coach
