name,gender,birth_date,country_code,discipline,function
VORONOVA Elena,Female,3/22/1991,ROC,Artistic Swimming,Coach
WALL Michael,Male,10/29/1978,USA,Volleyball,Head Coach
WALLACE Dave,Male,9/7/1946,USA,Baseball/Softball,Coach
WALSH Tim,Male,4/10/1979,AUS,Rugby Sevens,Head Coach
WANG Jie,Female,11/18/1961,CHN,Artistic Swimming,Coach
WANG Jie,Female,11/18/1961,CHN,Artistic Swimming,Coach
WANG Yang,Male,9/8/1968,CHN,Hockey,Head Coach
WIEGMAN Sarina,Female,10/26/1969,NED,Football,Head Coach
WIRTH Oscar,Male,11/5/1955,CHI,Football,Head Coach
WOELFLIN Roberto Osvaldo,Male,7/28/1968,ARG,Volleyball,Head Coach
WOICKI Pawel,Male,6/29/1983,POL,Volleyball,Head Coach
WRIGHT Jerold,Male,12/24/1961,USA,Basketball,Coach
XU Limin,Male,5/1/1966,CHN,Basketball,Coach
YAMAJI Noriko,Female,9/17/1970,JPN,Baseball/Softball,Coach
YOUNG Ernie,Male,7/8/1969,USA,Baseball/Softball,Coach
YUAN Lingxi,Male,7/31/1982,CHN,Volleyball,Head Coach
ZAITSEVA Olesia,Female,11/8/1974,UKR,Artistic Swimming,Coach
ZAMORA PEDREIRA Javier,Male,10/27/1984,ESP,Basketball,Coach
ZAMPIERI Francesca,Female,12/22/1981,LIE,Artistic Swimming,Coach
ZHANG Xiaohuan,Female,8/19/1980,CHN,Artistic Swimming,Coach
ZIJP Simon,Male,3/12/1964,NED,Hockey,Coach
ZONDI Nkuliso,Male,3/2/1989,RSA,Hockey,Coach
